"","scientific_name","body_mass","beak_peak_length","wing_length","tail_length","tarsus_length","clutch_num","egg_volume","nest_shape","nest_site","flock_status","migration_status","body_length_log"
"1312","Euodice malabarica",0.11,NA,54.3,52.4,13.5,5,1117.08,"2","4","","R",4.60517018598809
"1313","Lonchura striata",0.10762331838565,11.025,51.175,44.575,14,5,898.24,"2","4","1","R",4.71402459090017
"1314","Lonchura punctulata",0.127232142857143,11.525,54.45,41.25,14.4,6,1093.61,"2","3","1","R",4.71849887129509
"1315","Lonchura atricapilla",0.124824355971897,11.325,52.1,34.775,15.65,5.5,1395.83,"2","3","1","R",4.67048965210873
"1316","Lonchura oryzivora",0.2,17.5,65.125,48.25,19.125,5.5,1117.08,"2","3","1","R",4.90527477843843
"1317","Amandava amandava",0.0763358778625954,8.625,45,38.375,13.3,7,1354.69,"2","3","2","R",4.58751525074937
"1318","Estrilda melpoda",0.0447058823529412,NA,45.9,7,14.2,2.5,NA,"","","","R",5.13579843705026
"1319","Erythrura prasina",0.0962264150943396,NA,56.3,56.6,14,4.9,NA,"","","1","R",4.88658264542628
"1320","Passer ammodendri",0.196774193548387,11,75.75,62.75,15,5,3360.49,"1","4","1","R",5.04342511691925
"1321","Passer domesticus",0.172711571675302,12,74.5,58.5,18.5,6,3985.46,"1","5","1","R",4.9750081164531
"1322","Passer hispaniolensis",0.201754385964912,14,77.75,58.75,19.5,6,4691.49,"1","4","1","R",4.95934199970871
"1323","Passer cinnamomeus",0.158512720156556,11.35,68.825,48.75,17.25,5,2368.26,"1","5","1","R",4.85007522908381
"1324","Passer montanus",0.152840909090909,10.575,67.25,55,18.5,5.5,2600.46,"1","5","1","RW",4.88280192258637
"1325","Petronia petronia",0.206896551724138,12.5,96.25,61.25,19,5.5,3393.9,"1","5","2","RW",4.97673374242057
"1326","Montifringilla nivalis",0.203525641025641,13,107.75,67.75,19.25,4.5,3360.66,"1","5","1","R",5.04985600724954
"1327","Montifringilla henrici",NA,NA,NA,NA,NA,NA,NA,"1","5","","R",NA
"1328","Montifringilla adamsi",0.1671875,12.25,106.75,70,22.375,3.5,3758.45,"1","5","1","R",5.07517381523383
"1329","Onychostruthus taczanowskii",0.19935170178282,12.875,103,72,23.25,5,3754.89,"1","5","1","R",5.0385746627855
"1330","Pyrgilauda davidiana",0.168,10,87,36,15.5,5.5,3397.91,"1","5","1","RW",4.8283137373023
"1331","Pyrgilauda ruficollis",0.16871704745167,11.25,87.5,57.25,21.25,NA,2741.76,"1","5","1","R",4.95758607300644
"1332","Pyrgilauda blanfordi",0.201565557729941,10.5,91,53.75,17.75,NA,3397.91,"1","1","1","R",4.85007522908381
"1333","Dendronanthus indicus",0.108150470219436,13.5,77.5,70.5,21,5,2356.61,"2","1","0","SWP",5.0720439222249
"1334","Motacilla alba",0.129445234708393,13.75,90,90.75,24.25,5.5,2872.32,"2","1","0","RSWP",5.16906253069077
"1335","Motacilla grandis",0.116465863453815,13.5,88,90,23,5,2846.37,"2","1","","SPV",5.22977082401293
"1336","Motacilla citreola",0.125373134328358,13,83.25,80.5,24.5,4.5,2872.32,"2","1","0,1","SWPV",5.12098335126512
"1337","Motacilla flava",0.112951807228916,12,78,72,24.25,5,3373.65,"2","1","0","SWPV",5.11198778835654
"1338","Motacilla tschutschensis",0.112951807228916,12,78,72,24.25,5,3373.65,"2","1","0","SWPV",5.11198778835654
"1339","Motacilla cinerea",0.099023709902371,13,80.25,90,21,5,1799.28,"2","1","0","SWPR",5.18878147947973
"1340","Anthus richardi",0.172610556348074,14.25,85.75,71.75,28,5,4196.28,"2","1","1","SWP",5.1662135259147
"1341","Anthus rufulus",0.172610556348074,14.25,85.75,71.75,28,4,3388.08,"2","1","","RP",5.1662135259147
"1342","Anthus campestris",0.154078549848943,13.75,87,72,24,5,3549.27,"2","1","1","S",5.10897119481712
"1343","Anthus godlewskii",0.139112903253853,13.25,87,73.25,25.75,3.5,2093.13,"2","1","1","SPV",5.1079636378552
"1344","Anthus trivialis",0.158249158249158,11.25,84.5,64.5,20.5,4.5,3145.34,"2","1","0","SWP",5.00058495824275
"1345","Anthus hodgsoni",0.13961038961039,12.5,83,64.75,21,5,4706.86,"2","1","1","SWP",5.03695260241363
"1346","Anthus gustavi",0.136439267886855,12,82.25,60.75,22.75,5,4700.16,"2","1","0","SP",5.01230057341532
"1347","Anthus pratensis",0.111650485436893,10.33333333,79.5,63.25,21,5,2295,"2","1","1","PV",5.0401940963378
"1348","Anthus cervinus",0.139303482587065,11.625,81.5,61.25,21.875,5,1974.46,"2","1","1","WP",5.01562283560729
"1349","Anthus roseatus",0.146341463414634,13,84,65.75,23,4,3305.79,"2","1","0","RSV",5.03532790668663
"1350","Anthus spinoletta",0.135802469135802,12.75,88,72,22,5,3170.74,"2","1","1","RWPV",5.08759633523238
"1351","Anthus rubescens",0.13961038961039,12.5,83,64.75,21,5,3388.08,"2","1","0","WP",5.03695260241363
"1352","Anthus sylvanus",0.167381974284846,11.83333333,78.66666667,70,21.33333333,4,4054.38,"2","1","1","R",5.04557334524294
"1353","Fringilla coelebs",0.143572621035058,13.375,87.75,65.5,18.825,5.5,2616.3,"2","4","1","WPV",5.00896723699556
"1354","Fringilla montifringilla",0.154228855721393,12.25,88.5,62.75,19.75,6,2305.39,"2","4","1","SWP",5.01562283560729
"1355","Leucosticte nemoricola",0.136876006441224,10.375,96.375,71.5,20.625,4.5,2908.34,"1","5","2","R",5.04503672081359
"1356","Leucosticte brandti",0.1596921597114,10.93333333,111.5,76,21.16666667,3.5,3119.89,"2","1","1","RS",5.15473563807001
"1357","Leucosticte arctoa",0.175491679273828,10.8,105.5,71.375,20.375,3.5,2904.87,"2","1","1","RSWP",5.1074594787318
"1358","Pinicola enucleator",0.261294261294261,13.875,105.325,88,23.25,4,4296.24,"2","4","1","WVP",5.32178972273318
"1359","Carpodacus subhimachala",0.224598930481283,12.625,94.75,77.25,21.375,NA,2904.87,"2","4","1","R",5.23110861685459
"1360","Agraphospiza rubescens",0.14,12.25,80.25,57,19,NA,2904.87,"2","4","1","R",4.96807567967746
"1361","Procarduelis nipalensis",0.143100511073254,11,84,63.25,20.625,3.5,2744.62,"2","4","1","R",4.98873045870821
"1362","Carpodacus erythrinus",0.162068965517241,11.25,79.25,59,19,4.5,2592.27,"2","3","0","SWP",4.97673374242057
"1363","Carpodacus pulcherrimus",0.142857142857143,10,78.375,65.25,19.5,4.5,2524.5,"2","3","0","R",4.96633503519968
"1364","Carpodacus waltoni",0.143119266055046,10.1,74.875,64.325,19.5,NA,2904.87,"2","3","1","R",4.91449143354335
"1365","Carpodacus rodochroa",0.144665461121157,10.425,69.375,63.5,18.5,4.5,2432.7,"2","3","1","R",4.92906364040244
"1366","Carpodacus vinaceus",0.14795008912656,10.875,68.5,58.75,19.75,2.1,2904.87,"2","3","1","R",4.94342654440281
"1367","Carpodacus edwardsii",0.173775671406003,12.75,76,65.75,22.5,4,3310.68,"2","3","0","R",5.06417606102429
"1368","Carpodacus stoliczkae",0.133802816901408,9.9,84.675,73.425,20.5,5,2904.87,"2","3","1,2","R",4.95582705760126
"1369","Carpodacus roseus",0.163009404388715,11,86.5,68.5,19.75,2.1,2904.87,"2","4","1","WP",5.0720439222249
"1370","Carpodacus trifasciatus",0.155555555555556,11.33333333,86.5,76.75,21.25,2.1,2904.87,"2","4","1","RW",5.19295685089021
"1371","Carpodacus rodopeplus",0.122866894197952,10.375,71,67.25,20,4,3474.71,"2","4","","R",4.98702542845712
"1372","Carpodacus thura",0.169390787518574,11.5,81.5,80.125,22.125,4,2911.49,"2","3","1","R",5.12545096852484
"1373","Carpodacus rhodochlamys",0.201612903225806,13.66666667,87,78.66666667,21.86666667,4,3779.74,"2","3","0","R",5.2257466737132
"1374","Carpodacus rubicilloides",0.227762803234501,13.5,105,87.5,24,4,5047.08,"2","3","1","RW",5.22305488204749
"1375","Carpodacus rubicilla",0.230148048452221,13.5,114.75,86.25,24.5,4.5,4324.67,"1","5","1","R",5.22440168359787
"1376","Carpodacus puniceus",0.311193111931119,19.66666667,116.75,94.5,27.25,2,3093.01,"2","3","1","R",5.31443674842792
"1377","Carpodacus roborowskii",0.193452380952381,13.5,123,90,21,2.1,2904.87,"2","3","1","R",5.12396397940326
"1378","Loxia curvirostra",0.233542319749216,18.125,93,62,18,4,3526.59,"2","4","1","RWP",5.0720439222249
"1379","Loxia leucoptera",0.182527301092044,15.875,90.25,64.5,14.5,4,3091.78,"2","4","1","SWP",5.07673509580078
"1380","Chloris spinoides",0.174157303370787,10.5,76.75,51,13.5,4,2283.53,"2","4","1","R",4.8941014778403
"1381","Chloris chloris",0.177474402730375,12.5,91.5,59,18.75,4.5,2757.7,"2","4","1","R",4.98702542845712
"1382","Chloris ambigua",0.135658914728682,10.875,77.75,50.5,15.125,4,1899.24,"2","4","1","R",4.85981240436167
"1383","Acanthis flammea",0.0952741020793951,9.375,71,58.25,14.5,5,1404.27,"2","3","1","WV",4.88469407073841
"1384","Acanthis hornemanni",0.0961538461538462,8.75,72.875,55.25,16,5,2904.87,"2","3","2","WP",4.86753445045558
"1385","Spinus spinus",0.110745614035088,10.25,71.25,44.5,13.5,5.5,1551.42,"2","4","1","RSWP",4.7361984483945
"1386","Spinus thibetanus",0.100686498855835,9,68,43,13.375,NA,2904.87,"2","3","1,2","RWP",4.6936388339757
"1387","Carduelis carduelis",0.139579349904398,13,80.25,53,14,4,1911.62,"2","4","1","R",4.87328710294503
"1388","Chloris sinica",0.140384615384615,10.875,77.8,48.5,15.625,4.5,2037.32,"2","3","2","RWP",4.86753445045558
"1389","Linaria flavirostris",0.0988805970149254,8.825,75.675,64.125,16.125,5,1637.61,"2","3","1","R",4.89783979995091
"1390","Linaria cannabina",0.105527065504274,11.5,78.625,74.75,17.5,5,1784.59,"2","3","1","R",4.98531748611197
"1391","Serinus pusillus",0.10482180293501,6.5,75.75,56.25,14.75,4,1872.2,"2","3","1","R",4.78122212976845
"1392","Pyrrhula nipalensis",0.134529147982063,11.25,83.75,78,16,4,2441.99,"2","3","1","R",5.11948969900834
"1393","Pyrrhula erythrocephala",0.148972602739726,9.25,77,66.5,16.25,3.5,2639.4,"2","3","1","R",4.98360662170834
"1394","Pyrrhula erythaca",0.134228187919463,10.05,79.625,72.125,17.375,3,2904.87,"2","3","1","R",5.00394630594546
"1395","Pyrrhula pyrrhula",0.164545454545455,10.75,91.75,70.875,19.25,5,2374.48,"2","3","1","WPV",5.10594547390058
"1396","Coccothraustes coccothraustes",0.305595408895265,19.75,105.75,58,21,4.5,4786.86,"2","4","1","RWP",5.16049104964063
"1397","Eophona migratoria",0.263925729442971,19.25,101.75,75.125,22.5,4.5,5418.75,"2","4","1","SWP",5.23909800688807
"1398","Eophona personata",0.360178970917226,24.5,114.5,83.5,25,3.5,5236.04,"2","4","1","SWP",5.40941141405362
"1399","Mycerobas affinis",0.29337899543379,23,123.125,90,25.75,2.1,2904.87,"2","3","1","R",5.3890717298165
"1400","Mycerobas melanozanthos",0.346915017462165,23.5,129,78,22.75,2.5,2904.87,"2","4","1","RS",5.36947456086437
"1401","Mycerobas carnipes",0.275981524249423,22.375,118,103.5,24.375,4,5735.81,"2","3","1","R",5.37759054744254
