scientific_name,body_mass,body_length,tail_length,Hind_foot_length_mm,Ear_length_mm,Maturity_d.x,Gestation_length_d,Litter_size_n,Litters_per_year_n,Generation_length_d.x,Diet,Activity_cycle,Habitat_.breadth,Distribution.type
Lutra lutra,5750,665,341.5,106.5,22.5,701,55~63,1~5,1,"2,773","食鱼 piscivores, 食无脊椎动物 invertivores, 食肉 carnivores, ",全天活动 cathemeral,8,Uh
Lutrogale perspicillata,8500,700,425,120,25,944,60~64,2~3,1.5,"3,650","食鱼 piscivores, 食无脊椎动物 invertivores, 食肉 carnivores, ",昼行性 diurnal,8,Wa
Aonyxcinereus/A. cinerea,3000,505,320,85,22.5,365,60~64,1~6,2,"3,650","食鱼 piscivores, 食无脊椎动物 invertivores, 食肉 carnivores, ",夜行性 nocturnal,8,
Phoca largha,117500,1550,,28.7,,"1,498",271,1,1,"6,935","食虫 insectivores, 食鱼 piscivores",全天活动 cathemeral,4,
Pusa hispida,67500,1450,,19.5,,"2,252",251,1,1,"6,804","食虫 insectivores, 食鱼 piscivores",全天活动 cathemeral,4,
Erignathus barbatus,225000,2200,,,,"2,199",275,1,0.9,"6,935","食虫 insectivores, 食鱼 piscivores",全天活动 cathemeral,4,
Viverra megaspila,"9,250.00",835,360,75,45,406,67,1~3,1.9,"1,825",杂食 omnivores,夜行性 nocturnal,4,Wb
Viverra zibetha,6300,725,485,117.5,50,817,60~75,2~4,2,"2,954",杂食 omnivores,夜行性 nocturnal,3,Wd
Viverricula indica,2800,555,335,92.5,34,588,71,2~5,1.8,"1,659",杂食 omnivores,夜行性 nocturnal,6,Wd
Paradoxurus hermaphroditus,3200,520,515,76,50,398,60,2~4,2,"2,807",杂食 omnivores,夜行性 nocturnal,4,Wc
Paguma larvata,5000,545,475,92.5,50,839,81,2.3,2,"3,014",杂食 omnivores,夜行性 nocturnal,3,We
Arctictis binturong,11500,711,705,117.5,55,"1,035",84~99,1~6,2,"3,650",杂食 omnivores,夜行性 nocturnal,2,Wb
Arctogalidia trivirgata,2250,520,600,77,40,842,46,2~3,1~2,"1,825",杂食 omnivores,夜行性 nocturnal,2,Wa
Chrotogale owstoni,2900,530,420,80,,639,60,3,2,"1,825",杂食 omnivores,夜行性 nocturnal,3,Wa
Prionodon pardicolor,6050,375,337.5,64,32.5,401,60,2~4,1.6,"1,583",杂食 omnivores,夜行性 nocturnal,4,Wc
Herpestes edwardsii,2750,525,370,,,311,60,2.6,3.3,"1,586",杂食 omnivores,昼行性 diurnal,4,
Herpestes javanicus,900,310,255,57.5,19.5,167,49,2~6,2,"1,473",杂食 omnivores,夜行性 nocturnal,7,Wb
Herpestes urva,1650,440,288,91,25,369,50~60,2~5,2.1,"1,669",杂食 omnivores,昼行性 diurnal,4,Wc
Felis bieti,7250,725,320,,62.5,306,65,2~4,1,"2,905",食肉 carnivores,夜行性 nocturnal,2,Db
Felis chaus,7000,670,244,126.5,62.5,383,60~70,2~3,1,"1,904",食肉 carnivores,夜行性 nocturnal,6,O
Felis silvestris,5500,665,280,140,65,351,56~65,2~4,1.5,"2,905","食虫 insectivores, 食肉 carnivores",夜行性 nocturnal,5,O3
Prionailurus viverrinus,10500,860,285,,,432,63~70,1~4,2,"2,190","食虫 insectivores, 食肉 carnivores, 食鱼 piscivores",夜行性 nocturnal,5,
Prionailurus bengalensis,3250,510,285,105,45,855,60~70,2~4,1.6,"2,351",食肉 carnivores,全天活动 cathemeral,6,We
Otocolobus manul,3400,550,280,130,45,365,65~70,3~6,1,"2,036",食肉 carnivores,晨昏 crepuscular,5,Da
Lynx lynx,28000,1050,180,237.5,87.5,740,63~74,2~3,1,"3,338",食肉 carnivores,夜行性 nocturnal,6,Ce
Pardofelis marmorata,4250,530,505,117.5,37.5,854,81,1~4,1,"1,821",食肉 carnivores,夜行性 nocturnal,1,Wc
Pardofelis/Catopuma temminckii,12500,88,480,172.5,65,639,85~95,1~2,1.8,"2,394",食肉 carnivores,夜行性 nocturnal,4,We
Neofelis nebulosa,24000,890,730,212.5,52.5,753,86~92,1~5,1.7,"2,551",食肉 carnivores,昼行性 diurnal,2,Wc
Panthera pardus,40000,735,735,215,65,811,90~105,2~3,1,"3,401",食肉 carnivores,夜行性 nocturnal,7,O
Panthera tigris,198000,2100,1005,327,112.5,"1,523",90~105,2~3,0.4,"2,920",食肉 carnivores,夜行性 nocturnal,3,We
Panthera uncia,56500,1200,900,185,57.5,842,90~100,2~3,1,"2,920",食肉 carnivores,晨昏 crepuscular,5,Pw
Elephas maximus,3440000,6000,1350,,,"4,014",643,1,0.2,"8,030",食草或者树叶 herbivores,全天活动 cathemeral,4,Wa
Dicerorhinus sumatrensis,1130000,"2,975.00",,,,"2,784",236,1,0.3,"7,300","食草或者树叶 herbivores, 食果实 frugivores",夜行性 nocturnal,1,
Rhinoceros sondaicus,1750000,3245,710,275,,"1,278",494,1,0.3,"5,401","食草或者树叶 herbivores, 食果实 frugivores",夜行性 nocturnal,1,
Rhinoceros unicornis,1800000,3405,660,,,"2,069",479,1,0.3,"6,852","食草或者树叶 herbivores, 食果实 frugivores",全天活动 cathemeral,3,
Equus ferus,275000,2300,1050,,160,835,320~340,1,1,"2,847",食草或者树叶 herbivores,全天活动 cathemeral,2,D
Equus hemionus,230000,2100,455,580,178,"1,184",346,1,0.7,"1,825",食草或者树叶 herbivores,晨昏 crepuscular,4,Dg
Equus kiang,325000,1980,385,475,220,"1,094",304,1,0.6,"3,704",食草或者树叶 herbivores,全天活动 cathemeral,3,Pa
Camelus ferus,565000,3350,730,577,105,"1,331",390~410,1~2,0.5,"5,840",食草或者树叶 herbivores,昼行性 diurnal,1,De
Sus scrofa,125000,1350,250,300,114,351,114~140,5.6,1.5,"2,656",杂食 omnivores,全天活动 cathemeral,8,Uh
Tragulus williamsoni/T. kanchil,3500,465,72.5,110,42.5,154,140~172,1,1,"2,080",食草或者树叶 herbivores,夜行性 nocturnal,2,Wa
Moschus anhuiensis,8400,730.5,25,193.5,,480,176,1.6,1,"2,555",食草或者树叶 herbivores,夜行性 nocturnal,1,
Moschus berezovskii,7500,715,40,215,107.5,540,176~183,1~2,1,"2,555",食草或者树叶 herbivores,夜行性 nocturnal,2,Sd
Moschus chrysogaster,11300,850,55,250,115,588,185~195,1~2,1,"2,555",食草或者树叶 herbivores,夜行性 nocturnal,3,
Moschus fuscus,"13,697.90",950,50,262.5,91.5,514,182,1.3,1,"2,555",食草或者树叶 herbivores,夜行性 nocturnal,4,He
Moschus leucogaster,13500,930,50,,,537,176,1~2,1,"2,555",食草或者树叶 herbivores,夜行性 nocturnal,3,Ha
Moschus moschiferus,10000,775,50,230,99,487,169,1~3,1,"2,190",食草或者树叶 herbivores,夜行性 nocturnal,3,Mg
Hydropotes inermis,15500,960,65,262.5,95,293,180~190,2~5,1.5,"2,190",食草或者树叶 herbivores,全天活动 cathemeral,6,Sf
Elaphodus cephalophus,21500,1275,100,440,80,631,181,1~2,1,"2,555",食草或者树叶 herbivores,晨昏 crepuscular,2,Sv
Muntiacus crinifrons,24750,1150,202.5,280,105,339,180~210,1,1.4,"2,190",食草或者树叶 herbivores,全天活动 cathemeral,2,Si
Muntiacus feae,"22,000.00","1,320.00",187.5,285,100,356,196,1.2,1.3,"1,894",食草或者树叶 herbivores,全天活动 cathemeral,2,Wb
Muntiacus gongshanensis,20000,1000,125,283.5,87,341,203,1.1,1.4,"2,030",食草或者树叶 herbivores,晨昏 crepuscular,1,Hm
Muntiacus nigripes,27500,"1,000.00",190,,,,,1,1.4,,食草或者树叶 herbivores,全天活动 cathemeral,1,J
Muntiacus muntjak,"17,611.59","1,157.50",190,,,338,210,1.2,1.4,"2,416",食草或者树叶 herbivores,全天活动 cathemeral,2,
Muntiacus putaoensis,"12,000.00",972.46,100,,71,374,203,1.1,1.4,"2,228",食草或者树叶 herbivores,全天活动 cathemeral,1,
Muntiacus reevesi,13500,770,108,216.5,85,295,209,1,1.5,"2,932",食草或者树叶 herbivores,晨昏 crepuscular,3,Sd
Muntiacus vaginalis,28500,1090,185,289,108,338,210,1.2,1.4,"1,460",食草或者树叶 herbivores,全天活动 cathemeral,5,Wc
Axis porcinus,43000,1100,199,,,464,227,1~2,1.1,"2,555",食草或者树叶 herbivores,晨昏 crepuscular,5,Wa
Rusa unicolor,222500,1900,265,,200,621,211~295,1,1,"3,285",食草或者树叶 herbivores,全天活动 cathemeral,6,Wd
Cervus nippon,95000,1375,130,,,518,224,1,1,"3,499",食草或者树叶 herbivores,晨昏 crepuscular,4,Eg
Cervus wallichii,"170,000.00",1925,100,,,,,,,,食草或者树叶 herbivores,全天活动 cathemeral,3,
Cervus canadensis/elaphus,157500,2150,160,,,660,244,1,0.9,"5,209",食草或者树叶 herbivores,全天活动 cathemeral,2,Cd
Cervus hanglu,"160,166.67","2,136.72",130,1050,,660,244,1,0.9,"5,209",食草或者树叶 herbivores,全天活动 cathemeral,3,
Panolia siamensis/Rucervus eldii,82000,1600,235,375,153,532,240,1,1,"1,825",食草或者树叶 herbivores,晨昏 crepuscular,6,Wa
Przewalskium albirostris,205000,182.5,115,425,245,730,253,1,1,"2,555",食草或者树叶 herbivores,全天活动 cathemeral,3,
Elaphurus davidianus,175000,1750,675,415,148,"1,004",250~270,1.1,1,"3,531",食草或者树叶 herbivores,昼行性 diurnal,3,E
Capreolus pygargus,30000,1175,30,,134,909,196,1.9,1,"3,064",食草或者树叶 herbivores,全天活动 cathemeral,5,Ue
Alces alces,362500,2450,85,,,650,240~250,1~2,1.1,"3,566",食草或者树叶 herbivores,全天活动 cathemeral,3,Ca
Rangifer tarandus,181500,1700,140,,,759,227~229,1~2,1,"1,825",食草或者树叶 herbivores,昼行性 diurnal,2,Ca
Bos frontalis,1075000,2900,1950,,325,429.8~766.6,295,1.2,1,,食草或者树叶 herbivores,昼行性 diurnal,5,Wa
Bos gaurus,700000,2750,865,,,611,270~280,1.2,0.9,"3,285",食草或者树叶 herbivores,昼行性 diurnal,5,Wa
Bos javanicus,"683,333.34","2,162.50",675,,,797,296,1.2,1,"3,285",食草或者树叶 herbivores,全天活动 cathemeral,2,Wa
Bos mutus,563500,3425,1000,,,755,272,1,0.8,"3,650",食草或者树叶 herbivores,昼行性 diurnal,2,Pb
Bubalus arnee,"827,250.49","2,824.76",750,,,755,315,1.4,1,"3,285",食草或者树叶 herbivores,全天活动 cathemeral,4,Wa
Procapra gutturosa,35000,1340,85,,97,893,190,1~2,1.1,"1,793",食草或者树叶 herbivores,昼行性 diurnal,2,Dn
Procapra picticaudata,14500,980,90,,,373,175,1,1.5,"2,269",食草或者树叶 herbivores,晨昏 crepuscular,2,Pa
Procapra przewalskii,24500,1345,95,,,731,175,1,1.5,"2,667",食草或者树叶 herbivores,昼行性 diurnal,3,Dd
Gazella yarkandensis/subgutturosa,35500,985,147.5,,,414,169,1.4,1,"2,496",食草或者树叶 herbivores,昼行性 diurnal,1,De
Pantholops hodgsonii,33000,1200,135,,135,575,213,1,1.1,"2,190",食草或者树叶 herbivores,晨昏 crepuscular,2,Pa
Saiga tatarica,47500,1200,90,,,333,139~152,1.6,1.1,"1,700",食草或者树叶 herbivores,昼行性 diurnal,2,Dc
Budorcas bedfordi,250000,1950,95,,,"1,500",220,1.6,1,,食草或者树叶 herbivores,全天活动 cathemeral,3,
Budorcas xizangus,250000,1950,160,,,930,210,1,1,,食草或者树叶 herbivores,全天活动 cathemeral,3,Hc
Budorcas whitei,250000,1900,150,,,930,210,1.6,1,,食草或者树叶 herbivores,全天活动 cathemeral,3,
Budorcas taxicolor,425000,1950,158,355.5,125,928,200~220,1.2,1,"2,920",食草或者树叶 herbivores,全天活动 cathemeral,3,
Naemorhedus baileyi,25000,1000,90,225,100.5,725,214,1,1,"2,249",食草或者树叶 herbivores,昼行性 diurnal,4,He
Naemorhedus caudatus,37000,1130,145,295,150,725,215,1,1,"2,555",食草或者树叶 herbivores,夜行性 nocturnal,5,
Naemorhedus evansi,"25,000.00",600,150,,,,,,,,食草或者树叶 herbivores,晨昏 crepuscular,1,
Naemorhedus goral,38500,1100,115,257.5,,"1,017",215,1~2,1,"2,555",食草或者树叶 herbivores,晨昏 crepuscular,5,Ha
Naemorhedus griseus,27000,1030,157.5,260,133.5,"1,017",215,1,1,"2,555",食草或者树叶 herbivores,晨昏 crepuscular,5,Eb
