scientific_name,body_mass,body_length,tail_length,Hind_foot_length_mm,Ear_length_mm,Maturity_d.x,Gestation_length_d,Litter_size_n,Litters_per_year_n,Generation_length_d.x,Diet,Activity_cycle,Habitat_.breadth,Distribution.type
Apodemus semotus,28.75,91.25,109.5,24.25,16,68,23,2~6,3.8,591,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,3,J
Apodemus uralensis,20,93.5,90,20,15,68,23,5.2,3.8,593,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,3,
Hadromys yunnanensis,59,131.5,123,25.5,17.5,100,26,3.6,3.3,580,Herbivore,夜行性 nocturnal,2,
Dacnomys millardi,73.99,259,321.5,53,27,102,26,3.8,3.3,593,Omnivore,夜行性 nocturnal,1,Wa
Rattus andamanensis,140,156.5,197,34,22.5,107,22,6.6,4.3,558,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,
Rattus exulans,49,115.5,132.5,22.5,16.25,57,22,3.7,3.6,570,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,8,Wa
Rattus losea,56,152.5,151.5,28,19.5,101,24,4.4,3.5,556,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,4,
Rattus nitidus,125,164,170.5,34,21,101,25,4~15,2~3,553,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,4,Wa
Rattus norvegicus,365,232.5,220,44,22.5,55,22,8.9,3.7,594,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Ue
Rattus rattus,200,201.99,209,,,115,22,6,4.3,546,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,5,
Rattus tanezumi,171.34,160,175,30.5,20,107,22,6,4.3,559,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,4,We
Niviventer andersoni,141,153,240.5,32,21,111,30,3.1,3.3,652,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,W
Niviventer brahma,97.3,145.5,219,32.5,22.5,101,28,3.4,3.4,627,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Niviventer bukit,,138.5,164.5,29.75,22,,,,,,,夜行性 nocturnal,1,
Niviventer confucianus,65,144.5,204.5,31.5,23,100,24,4.2,3.5,567,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,We
Niviventer coninga,142,172.5,218,33.5,25.5,97,29,2.4,3.4,598,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,J
Niviventer cremoriventer,71.54,183.5,181,,,101,26,2~5,3.4,599,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Wb
Niviventer culturatus,81.17,140,185,32,24,101,26,3.7,3.4,610,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,J
Niviventer eha,53.6,121,180,29.5,18,97,24,4.9,3.5,568,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Hm
Niviventer excelsior,102,151,201.5,32,24.5,102,29,3.3,3.4,637,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Niviventer fengi,65.5,132.5,183,27,18.5,,,,,,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Niviventer fulvescens,81.79,151.5,190.5,32,20,99,24,4.4,3.5,566,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,Wb
Niviventer gladiusmaculus,56.9,123.5,151.5,25,21.5,,,,,,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Niviventer huang,80.2,142,172.5,27.5,16,,,,,,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Niviventer lotipes,75.15,141.5,152.5,24,19.5,,,,,,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,J
Niviventer niviventer,83.2,146.5,212,,,99,24,4.5,3.6,562,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Ha
Niviventer mekongis,86.2,134,179.5,27.5,20,,,,,,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,,
Niviventer pianmaensis,112.5,149,205.5,33.5,19,100,24,4.2,3.5,567,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Niviventer sacer,65,145.5,150,27.865,19.915,,,,,,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,,
Niviventer tenaster,96.5,154.5,204,33.5,24.5,98,25,3.7,3.4,582,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Maxomys surifer,160,243,193.5,43.5,26,99,25,2~5,3.3,565,杂食 omnivores,夜行性 nocturnal,2,
Berylmys berdmorei,176.5,215,163,41,26,124,28,3.6,3.3,629,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Wa
Berylmys bowersi,358.68,260.5,270.5,54.5,34,136,30,2~5,3.1,659,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,3,Wc
Berylmys manipulus,116,160,163.5,36.5,24,107,25,4.1,3.4,581,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,3,He
Leopoldamys edwardsi,355,250,289.5,50,30,152,37,1.9,2.7,718,"食虫 insectivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Wd
Leopoldamys neilli,219,245,325,50,31,111,31,2.9,3.2,630,"食虫 insectivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Mus booduga,11.5,87.53,56,16,12.5,71,21,2~6,3.8,488,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,5,
Mus caroli,15.5,83.5,85,17,13,48,20,5.8,4.6,575,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,4,Wb
Mus cervicolor,12.75,82.5,60,16.5,14,66,19,4.3,3.7,473,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,4,Wa
Mus cookii,19.75,86.5,87,19.5,15,71,21,4.8,3.5,496,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,3,
Mus musculus,20.5,95,61.5,,,65,20,6.1,4.6,628,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,5,Uh
Mus pahari,22.5,90,85,22,16,86,25,4.1,3.2,547,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Wc
Tonkinomys  daovantieni,172.5,200.5,169.5,39,30,,,,,,"食虫 insectivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Bandicota bengalensis,196.83,202,150,32.5,,64,21~25,1~19,5.9,562,"食虫 insectivores, 食草或者树叶 herbivores",夜行性 nocturnal,6,
Bandicota indica,750,258,235,53,29,146,22,5~7,4,612,"食虫 insectivores, 食草或者树叶 herbivores",夜行性 nocturnal,5,Wa
Nesokia indica,170,172,119.5,30,19,102,17,4.1,4,564,"食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,5,
Brachiones przewalskii,27,85,67,23,7.5,86,20~23,3~6,2~3,542,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Db
Meriones chengi,63.85,140.5,102.5,32.5,17,,22~24,4~8,3.1,579,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,D
Meriones libycus,105.5,140,144,34.5,16.5,93,26,5~6,3~4,649,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,4,Dh
Meriones meridianus,45,114.5,102,29.5,14.5,78,22~28,1~12,1~3,660,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,Da
Meriones tamariscinus,120,162.5,132.5,35.5,18,,25,4~5,2,567,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,4,Dc
Meriones unguiculatus,58.1,114.5,95.5,28,14,57,24~26,2~11,3.8,504,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,3,Dn
Rhombomys opimus,222,167.5,145,41.5,15.5,108,22~25,4~7,2.5,563,食草或者树叶 herbivores,昼行性 diurnal,4,
Typhlomys chapensis,15.15,88,103,,,,,,,,"食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Typhlomys cinereus,23.5,78.5,119,21,15.5,238,33,2~4,1.8,811,"食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Sd
Typhlomys daloushanensis,25.5,81,112,23,14.5,,,,,,"食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Wc
Typhlomys huangshanensis,16.215,78.27,99,19,13.5,,,,,,"食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Typhlomys nanus,11,69,101.5,,,,,,,,"食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Cannomys badius,275,195,60.5,29.5,8,258,40~43,2~5,1.9,847,食草或者树叶 herbivores,夜行性 nocturnal,3,He
Rhizomys pruinosus,2000,292.5,110,45,16.5,360,37,2~3,1.8,"1,262","食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,3,Wb
Rhizomys sinensis,1912.5,298,73,49,17,270,34,2~4,1.8,840,"食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,3,We
Rhizomys sumatrensis,3075,380.5,166.5,59,26.5,359,22,3~5,1.8,"1,207","食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,3,Wa
Rhizomys vestitus,1600,365,,,,,,,,,"食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,
Eospalax baileyi,256.76,270,50,,,269,34,2.8,1.8,810,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,3,
Eospalax cansus,254,181.5,38.3,33,,,,,1.8,,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,4,
Eospalax fontanierii,385,200,51,31.5,,269,34,2~3,1~3,810,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,3,Bc
Eospalax rothschildi,302,160.5,33,27,,265,36,1~5,1.8,847,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,4,O
Eospalax rufescens,306,200,51,33.5,,,,2.7,,,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,3,
Eospalax smithii,320,208.5,36.5,29,,259,36,2~4,1.9,836,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,O
Myospalax aspalax,323.5,186.5,58.5,32,,318,31,2~5,1,840,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,Dn
Myospalax myospalax,460,234.5,48,,,318,31,3~5,1,838,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Di
Myospalax psilurus,292.5,235,45,31,,317,33,2~5,1,851,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,4,Bc
Chaetocauda sichuanensis,30,90.5,97,18.5,18,328,31,3.7,1.7,868,杂食 omnivores,夜行性 nocturnal,1,Hc
Dryomys nitedula,48.5,102.5,95,21.5,16,371,25,3.2,1.2,890,杂食 omnivores,夜行性 nocturnal,5,U
Sicista caudata,11.2,63,105.5,17,13,208,27,4.1,1.9,743,"食虫 insectivores, 食果实 frugivores, 食种子 granivores",夜行性 nocturnal,2,
Sicista concolor,6.5,63.5,97.5,17.5,12.5,261,28,3~6,1.7,755,"食虫 insectivores, 食果实 frugivores, 食种子 granivores",夜行性 nocturnal,4,U
Sicista pseudonapaea,11.65,71,92,15,14.5,218,27,4.1,1.9,704,"食虫 insectivores, 食果实 frugivores, 食种子 granivores",夜行性 nocturnal,2,
Sicista subtilis,12.5,66,81.5,15.5,13,333,26,2~7,1,782,"食虫 insectivores, 食果实 frugivores, 食种子 granivores",夜行性 nocturnal,3,O
Sicista tianshanica,11.5,62.5,95,17.5,13,339,27,3~6,1,754,"食虫 insectivores, 食果实 frugivores, 食种子 granivores",夜行性 nocturnal,2,
Eozapus setchuanus,17.5,85,129.5,28.5,13,165,27,4.1,2.1,709,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,4,Hc
Allactaga/Orientallactaga balikunica,72.5,123.5,177.5,59,33.5,180,32,2.5,2,770,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,
Allactaga /Orientallactaga bullata,86.5,130,182.5,59,34.5,182,32,1~3,1~2,772,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,Da
Allactaga/Scarturus elater,58.5,102.5,164.5,50.5,34,105,28,3~6,2,625,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,Dc
Allactaga major,350,221.5,269,89,57,378,34,1~4,1.6,983,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,4,
Allactaga/Orientallactaga sibirica,111,150,205,71.5,49,331,34,2~9,1,863,"食虫 insectivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,Dc
Pygeretmus pumilio,46,107.5,153,49.5,25,182,28,2~5,2~3,728,"食虫 insectivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Dc
Cardiocranius paradoxus,9.5,52.5,68.5,24.5,5.5,139,27,3~5,2.3,697,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Dc
Salpingotus crassicauda,12,47.5,99,21.5,8,157,31,2.6,2,718,"食虫 insectivores, 食草或者树叶 herbivores",夜行性 nocturnal,3,Dc
Salpingotus kozlovi,9.5,49.5,118,25.5,10.5,153,28,3~5,2.2,663,"食虫 insectivores, 食草或者树叶 herbivores",夜行性 nocturnal,3,Db
Chimaerodipus auritus,52,108,160.5,50.5,30,,,,,,"食果实 frugivores, 食花 nectarivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,
Dipus sagitta,86.5,128,167.5,59.5,18.5,84,25~30,3~4,2~3,720,"食果实 frugivores, 食花 nectarivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,Dg
Dipus deasyi ,73.5,120.5,172.5,62.5,21,,,,,,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,
Stylodipus andrewsi,57.5,121.5,143,54.5,17,316,30,2~4,1,821,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,3,
Stylodipus sungorus,87.5,127.5,157.5,55.5,19,,31,2~6,1.8,913,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Stylodipus telum,80,118.5,152.5,52,18,316,30,2~4,1~2,834,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Euchoreutes naso,31,87.5,164.5,45,42,273,34,2~6,1.8,784,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,Da
Atherurus macrourus,3000,435,183.5,69.5,33,345,100~110,1.6,1.9,"1,724","食果实 frugivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,Wc
Hystrix hodgsoni,14000,646.5,97.5,84,31.5,598,112,2~3,1.8,"2,779","食果实 frugivores, 食草或者树叶 herbivores",夜行性 nocturnal,4,Ha
Hystrix brachyura,1250,610,80,80,35,598,112,2~4,1,2713.29805,"食果实 frugivores, 食草或者树叶 herbivores",夜行性 nocturnal,4,Wd
Ochotona argentata,206,221.5,,33,23.5,197,27,2~4,2.3,658,食草或者树叶 herbivores,全天活动 cathemeral,2,
Ochotona alpina,293,193.5,,30.5,21.5,378,30,2~8,2.1,623,食草或者树叶 herbivores,全天活动 cathemeral,2,O
Ochotona cansus,74.5,140.5,,25.5,19,414,24,2~6,2.3,855,食草或者树叶 herbivores,全天活动 cathemeral,2,Pc
Ochotona chinensis,220,175,30,32.5,24.5,,30,2~3,2~7,,食草或者树叶 herbivores,全天活动 cathemeral,2,
Ochotona coreana,135,167.5,,30,18,203,29,3.1,2.1,883,食草或者树叶 herbivores,全天活动 cathemeral,2,
Ochotona curzoniae,162.5,166,,32.5,22,58,23,2~8,1~2,438,食草或者树叶 herbivores,昼行性 diurnal,2,P
Ochotona dabashanensis,73.8,160,,26,17,,,,,,食草或者树叶 herbivores,昼行性 diurnal,2,
Ochotona dauurica,130,175,,30,21,94,15~22,3~6,2.1,691,食草或者树叶 herbivores,昼行性 diurnal,1,Dn
Ochotona erythrotis,268,233,,37,35.5,378,34,3~7,2.5,824,食草或者树叶 herbivores,昼行性 diurnal,2,Pf
Ochotona flatcalvariam,55,137,,25,17,,,,,,食草或者树叶 herbivores,全天活动 cathemeral,3,
Ochotona forresti,129,170,,28.5,20.5,31,22,5.7,2.3,527,食草或者树叶 herbivores,全天活动 cathemeral,2,He
Ochotona gloveri,220,190,,33.5,35,378,34,4.1,2.5,825,食草或者树叶 herbivores,昼行性 diurnal,2,Pc
Ochotona himalayana,147.5,160,,30,27.5,,,3~4,,,食草或者树叶 herbivores,全天活动 cathemeral,2,Ha
Ochotona huanglongensis,112,116,,27,,,,,,,食草或者树叶 herbivores,全天活动 cathemeral,3,Ha
Ochotona hyperborea,156,177,,27.5,19.5,203,29,3.1,2.1,880,食草或者树叶 herbivores,全天活动 cathemeral,4,
Ochotona iliensis,233.5,203.5,,42.5,36.5,278,33,3.7,2.3,751,食草或者树叶 herbivores,全天活动 cathemeral,2,D
Ochotona koslowi,165,230,,40,18,373,57,1,1,"1,221",食草或者树叶 herbivores,昼行性 diurnal,1,Pg
Ochotona ladacensis,239,204.5,,37,28.5,251,29,3.7,2.1,713,食草或者树叶 herbivores,昼行性 diurnal,1,Pe
Ochotona macrotis,166,177,,31.5,31.5,371,29,2~3,1.8,768,食草或者树叶 herbivores,昼行性 diurnal,2,Pa
Ochotona mantchurica,185,180,,27,21.5,203,29,3.1,2.1,884,食草或者树叶 herbivores,昼行性 diurnal,4,Ga
Ochotona nigritia,149.7635962,156.5,,27,17.5,,,,,751.47417,食草或者树叶 herbivores,全天活动 cathemeral,2,
Ochotona nubrica,115.5,162,,31,24,31,22,8.4,3.1,530,食草或者树叶 herbivores,全天活动 cathemeral,2,Pa
Ochotona pallasii,214,190,,31.5,20.5,365,25,5~7,2~3,715,食草或者树叶 herbivores,昼行性 diurnal,3,D
Ochotona pusilla,182.5,180,,28,19.5,32,22,8.5,3.1,480,食草或者树叶 herbivores,夜行性 nocturnal,2,
Ochotona qionglaiensis,80,172,,28,20,,,,,,食草或者树叶 herbivores,全天活动 cathemeral,2,
Ochotona roylei/roylii,155,179.5,,29.5,29,336,29,3.2,1.6,725,食草或者树叶 herbivores,全天活动 cathemeral,2,Hm
Ochotona rutila,270,213,,37.5,28,378,33,4.1,2.5,805,食草或者树叶 herbivores,全天活动 cathemeral,2,O
Ochotona sacraria,78.7,148.3,27,17,,,,,,,食草或者树叶 herbivores,全天活动 cathemeral,3,
Ochotona sikimaria,66.7,145.8,,26.7,18.1,,,,,,食草或者树叶 herbivores,全天活动 cathemeral,1,
Ochotona syrinx,80,150.5,,27.5,20,,29,2.9,2.5,706,食草或者树叶 herbivores,全天活动 cathemeral,2,
Ochotona thibetana,104,160,,28,20,211,29,1~6,1~2,712,食草或者树叶 herbivores,全天活动 cathemeral,2,Hc
Ochotona thomasi,77.5,135,,25.5,19.5,219,31,2~6,2.4,715,食草或者树叶 herbivores,全天活动 cathemeral,2,Pc
Ochotona xunhuaensis,85.5,150,,,,,,,,,食草或者树叶 herbivores,全天活动 cathemeral,2,
Ochotona yarlungensis,100,155,,28,20,,,,,,食草或者树叶 herbivores,全天活动 cathemeral,2,
Caprolagus hispidus,"2,498.50",480.12,75,98,70,228,40,3.5,2.7,"1,083",食草或者树叶 herbivores,夜行性 nocturnal,2,
Lepus comus,2150,401,102.5,114,116,254,42,1~4,2,"1,076",食草或者树叶 herbivores,晨昏 crepuscular,2,Yc
Lepus coreanus,"1,700.00",457.5,67.5,115,76,247,44,2.9,2.8,"1,090",食草或者树叶 herbivores,夜行性 nocturnal,3,
Lepus hainanus,1500,372,57.5,86,87,219,41,2.3,3.4,996,食草或者树叶 herbivores,夜行性 nocturnal,3,J
Lepus mandshuricus,2000,475,65,127.5,96.5,238,38,2.3,2.5,"1,182",食草或者树叶 herbivores,夜行性 nocturnal,1,Mb
Lepus nigricollis,2700,430,50,96,110,210,38,1~4,7.2,"1,022",食草或者树叶 herbivores,夜行性 nocturnal,7,
Lepus oiostolus,3125,490,95,121,130,258,41,4~6,2,"1,082",食草或者树叶 herbivores,夜行性 nocturnal,3,Pa
Lepus sinensis,1481.5,400,48.5,96,71,209,37,2~5,3~4,"1,050",食草或者树叶 herbivores,夜行性 nocturnal,2,Sc
Lepus tibetanus,2062.5,440.5,98,122,95.5,228,43,2.8,3.1,"1,049",食草或者树叶 herbivores,夜行性 nocturnal,3,Ca
Lepus timidus,2420,536,62.5,150,95,266,47~55,2~4,2.1,"1,306",食草或者树叶 herbivores,夜行性 nocturnal,5,O
Lepus tolai,2150,495,91,118.5,101.5,228,43,2~6,2~4,"1,061",食草或者树叶 herbivores,夜行性 nocturnal,3,O
Lepus yarkandensis,1500,357.5,70.5,100,100,226,40,3~5,2~3,"1,056",食草或者树叶 herbivores,夜行性 nocturnal,3,Db
