scientific_name,island_special,body_length,SpawnLoc,Young_site,Adult_site,mature_period,mate_month,parent_exist,fert_mode, snout-vent length,hindlimb length,interorbital distance,activity time,TAIL
Tylototriton pseudoverrucosus,0,171.4,水栖,静水,水栖,0,6~7,0,1,,,,,1
Tylototriton pulcherrimus,0,135.825,,静水和激流,半水栖,,5~6,,,,,,,
Tylototriton shanjing,0,150.75,,静水,陆栖,,5~6,,1,,,,,
Tylototriton sini,0,,,,,,,,,,,,,
Tylototriton taliangensis,0,207.5,陆栖,静水,陆栖,0,5~6,0,0,98.05,20.15,,,1
Tylototriton verrucosus,0,,半水栖,静水,陆栖,,,0,1,,,,1,1
Tylototriton wenxianensis,0,126,陆栖,静水,陆栖,0,5,1,1,69.25,19.05,8.5,,1
Tylototriton yangi,0,150.25,陆栖,静水,水栖,1,5~6,0,1,,,,2,1
Tylototriton ziegleri,0,66.075,,,水栖,,4~5,0,,,,,,
Bombina fortinuptialis,0,57.25,水栖,静水,半水栖,,4~5,1,0,57.45,17.25,3.7,,0
Bombina lichuanensis,0,60.75,水栖,静水,半水栖,1,4~6,0,0,60.9,19.7,3.15,1,0
Bombina maxima,0,47.75,水栖,静水,水栖,,5~6,0,0,47.5,14.8,2.9,,0
Bombina microdeladigitora,0,74.5,陆栖,静水,陆栖,0,,0,0,75.2,26.2,4.6,,0
Bombina orientalis,0,41.5,水栖,静水和激流,水栖,,5~7,0,0,42,12.75,2.25,,0
Leptobrachella alpina,0,28.5,水栖,静水和激流,半水栖,,3~4,0,0,28.7,10.35,2.95,2,0
Leptobrachella aspera,0,,,,水栖,,,,,,,,,
Leptobrachella bashaensis,0,25.675,水栖,,半水栖,,6~7,0,0,25.6,9.25,3.3,1,0
Leptobrachella bijie,0,29.7,,,,,,,,,,,,
Leptobrachella bourreti,0,,,,半水栖,,,,,,,,,
Leptobrachella chishuiensis,0,33.15,,静水和激流,水栖,,,,,,,,,
Leptobrachella damingshanensis,0,,水栖,,水栖,,,0,0,34.1,10.8,3.7,2,0
